model,language,category,total,correct,accuracy
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,chemistry,56,17,0.303571
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,history,19,5,0.263158
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,other,46,16,0.347826
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,health,35,17,0.485714
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,economics,42,15,0.357143
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,math,68,40,0.588235
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,physics,65,34,0.523077
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,computer science,20,8,0.4
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,philosophy,25,11,0.44
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,vi,engineering,48,14,0.291667
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,all,588,242,0.411565
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,business,40,20,0.5
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,law,48,6,0.125
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,psychology,40,21,0.525
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,biology,36,24,0.666667
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,chemistry,56,20,0.357143
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,history,19,5,0.263158
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,other,46,18,0.391304
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,health,35,11,0.314286
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,economics,42,21,0.5
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,math,68,41,0.602941
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,physics,65,26,0.4
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,computer science,20,6,0.3
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,philosophy,25,8,0.32
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,pt,engineering,48,15,0.3125
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,all,588,240,0.408163
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,business,40,17,0.425
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,law,48,8,0.166667
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,psychology,40,20,0.5
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,biology,36,26,0.722222
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,chemistry,56,19,0.339286
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,history,19,2,0.105263
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,other,46,21,0.456522
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,health,35,14,0.4
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,economics,42,16,0.380952
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,math,68,38,0.558824
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,physics,65,28,0.430769
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,computer science,20,7,0.35
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,philosophy,25,9,0.36
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,ru,engineering,48,15,0.3125
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,all,588,248,0.421769
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,business,40,22,0.55
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,law,48,9,0.1875
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,psychology,40,20,0.5
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,biology,36,23,0.638889
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,chemistry,56,22,0.392857
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,history,19,3,0.157895
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,other,46,18,0.391304
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,health,35,14,0.4
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,economics,42,20,0.47619
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,math,68,37,0.544118
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,physics,65,29,0.446154
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,computer science,20,6,0.3
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,philosophy,25,11,0.44
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,fr,engineering,48,14,0.291667
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,all,588,233,0.396259
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,business,40,21,0.525
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,law,48,1,0.020833
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,psychology,40,22,0.55
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,biology,36,23,0.638889
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,chemistry,56,23,0.410714
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,history,19,5,0.263158
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,other,46,17,0.369565
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,health,35,8,0.228571
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,economics,42,20,0.47619
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,math,68,40,0.588235
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,physics,65,22,0.338462
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,computer science,20,8,0.4
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,philosophy,25,9,0.36
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,zh,engineering,48,14,0.291667
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,yo,all,32,7,0.21875
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,yo,business,32,7,0.21875
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,all,588,232,0.394558
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,business,40,17,0.425
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,law,48,8,0.166667
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,psychology,40,19,0.475
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,biology,36,26,0.722222
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,chemistry,56,20,0.357143
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,history,19,4,0.210526
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,other,46,20,0.434783
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,health,35,13,0.371429
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,economics,42,20,0.47619
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,math,68,36,0.529412
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,physics,65,21,0.323077
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,computer science,20,7,0.35
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,philosophy,25,9,0.36
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,de,engineering,48,12,0.25
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,all,588,264,0.44898
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,business,40,24,0.6
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,law,48,11,0.229167
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,psychology,40,22,0.55
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,biology,36,25,0.694444
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,chemistry,56,17,0.303571
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,history,19,7,0.368421
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,other,46,22,0.478261
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,health,35,16,0.457143
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,economics,42,21,0.5
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,math,68,40,0.588235
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,physics,65,27,0.415385
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,computer science,20,10,0.5
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,philosophy,25,10,0.4
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,en,engineering,48,12,0.25
gemma-3-4b-it__base,en,all,620,275,0.443548
gemma-3-4b-it__base,en,business,48,26,0.541667
gemma-3-4b-it__base,en,law,72,11,0.152778
gemma-3-4b-it__base,en,psychology,40,21,0.525
gemma-3-4b-it__base,en,biology,36,26,0.722222
gemma-3-4b-it__base,en,chemistry,56,20,0.357143
gemma-3-4b-it__base,en,history,19,7,0.368421
gemma-3-4b-it__base,en,other,46,22,0.478261
gemma-3-4b-it__base,en,health,35,17,0.485714
gemma-3-4b-it__base,en,economics,42,21,0.5
gemma-3-4b-it__base,en,math,68,41,0.602941
gemma-3-4b-it__base,en,physics,65,31,0.476923
gemma-3-4b-it__base,en,computer science,20,9,0.45
gemma-3-4b-it__base,en,philosophy,25,9,0.36
gemma-3-4b-it__base,en,engineering,48,14,0.291667
gemma-3-4b-it__base,de,all,620,246,0.396774
gemma-3-4b-it__base,de,business,72,33,0.458333
gemma-3-4b-it__base,de,law,48,5,0.104167
gemma-3-4b-it__base,de,psychology,40,16,0.4
gemma-3-4b-it__base,de,biology,36,27,0.75
gemma-3-4b-it__base,de,chemistry,56,19,0.339286
gemma-3-4b-it__base,de,history,19,6,0.315789
gemma-3-4b-it__base,de,other,46,21,0.456522
gemma-3-4b-it__base,de,health,35,12,0.342857
gemma-3-4b-it__base,de,economics,42,19,0.452381
gemma-3-4b-it__base,de,math,68,37,0.544118
gemma-3-4b-it__base,de,physics,65,21,0.323077
gemma-3-4b-it__base,de,computer science,20,9,0.45
gemma-3-4b-it__base,de,philosophy,25,8,0.32
gemma-3-4b-it__base,de,engineering,48,13,0.270833
gemma-3-4b-it__base,zh,all,620,238,0.383871
gemma-3-4b-it__base,zh,business,48,24,0.5
gemma-3-4b-it__base,zh,law,72,4,0.055556
gemma-3-4b-it__base,zh,psychology,40,22,0.55
gemma-3-4b-it__base,zh,biology,36,24,0.666667
gemma-3-4b-it__base,zh,chemistry,56,19,0.339286
gemma-3-4b-it__base,zh,history,19,5,0.263158
gemma-3-4b-it__base,zh,other,46,17,0.369565
gemma-3-4b-it__base,zh,health,35,11,0.314286
gemma-3-4b-it__base,zh,economics,42,16,0.380952
gemma-3-4b-it__base,zh,math,68,42,0.617647
gemma-3-4b-it__base,zh,physics,65,26,0.4
gemma-3-4b-it__base,zh,computer science,20,7,0.35
gemma-3-4b-it__base,zh,philosophy,25,4,0.16
gemma-3-4b-it__base,zh,engineering,48,17,0.354167
gemma-3-4b-it__base,yo,all,588,132,0.22449
gemma-3-4b-it__base,yo,business,40,14,0.35
gemma-3-4b-it__base,yo,law,48,5,0.104167
gemma-3-4b-it__base,yo,psychology,40,12,0.3
gemma-3-4b-it__base,yo,biology,36,9,0.25
gemma-3-4b-it__base,yo,chemistry,56,15,0.267857
gemma-3-4b-it__base,yo,history,19,1,0.052632
gemma-3-4b-it__base,yo,other,46,9,0.195652
gemma-3-4b-it__base,yo,health,35,8,0.228571
gemma-3-4b-it__base,yo,economics,42,9,0.214286
gemma-3-4b-it__base,yo,math,68,19,0.279412
gemma-3-4b-it__base,yo,physics,65,9,0.138462
gemma-3-4b-it__base,yo,computer science,20,4,0.2
gemma-3-4b-it__base,yo,philosophy,25,6,0.24
gemma-3-4b-it__base,yo,engineering,48,12,0.25
gemma-3-4b-it__base,fr,all,588,227,0.386054
gemma-3-4b-it__base,fr,business,40,18,0.45
gemma-3-4b-it__base,fr,law,48,7,0.145833
gemma-3-4b-it__base,fr,psychology,40,20,0.5
gemma-3-4b-it__base,fr,biology,36,23,0.638889
gemma-3-4b-it__base,fr,chemistry,56,18,0.321429
gemma-3-4b-it__base,fr,history,19,4,0.210526
gemma-3-4b-it__base,fr,other,46,14,0.304348
gemma-3-4b-it__base,fr,health,35,10,0.285714
gemma-3-4b-it__base,fr,economics,42,17,0.404762
gemma-3-4b-it__base,fr,math,68,39,0.573529
gemma-3-4b-it__base,fr,physics,65,26,0.4
gemma-3-4b-it__base,fr,computer science,20,7,0.35
gemma-3-4b-it__base,fr,philosophy,25,12,0.48
gemma-3-4b-it__base,fr,engineering,48,12,0.25
gemma-3-4b-it__base,pt,all,588,232,0.394558
gemma-3-4b-it__base,pt,business,40,17,0.425
gemma-3-4b-it__base,pt,law,48,7,0.145833
gemma-3-4b-it__base,pt,psychology,40,21,0.525
gemma-3-4b-it__base,pt,biology,36,25,0.694444
gemma-3-4b-it__base,pt,chemistry,56,17,0.303571
gemma-3-4b-it__base,pt,history,19,5,0.263158
gemma-3-4b-it__base,pt,other,46,20,0.434783
gemma-3-4b-it__base,pt,health,35,12,0.342857
gemma-3-4b-it__base,pt,economics,42,22,0.52381
gemma-3-4b-it__base,pt,math,68,34,0.5
gemma-3-4b-it__base,pt,physics,65,21,0.323077
gemma-3-4b-it__base,pt,computer science,20,6,0.3
gemma-3-4b-it__base,pt,philosophy,25,10,0.4
gemma-3-4b-it__base,pt,engineering,48,15,0.3125
gemma-3-4b-it__base,ru,all,620,253,0.408065
gemma-3-4b-it__base,ru,business,72,33,0.458333
gemma-3-4b-it__base,ru,law,48,6,0.125
gemma-3-4b-it__base,ru,psychology,40,20,0.5
gemma-3-4b-it__base,ru,biology,36,24,0.666667
gemma-3-4b-it__base,ru,chemistry,56,20,0.357143
gemma-3-4b-it__base,ru,history,19,3,0.157895
gemma-3-4b-it__base,ru,other,46,20,0.434783
gemma-3-4b-it__base,ru,health,35,14,0.4
gemma-3-4b-it__base,ru,economics,42,17,0.404762
gemma-3-4b-it__base,ru,math,68,37,0.544118
gemma-3-4b-it__base,ru,physics,65,24,0.369231
gemma-3-4b-it__base,ru,computer science,20,7,0.35
gemma-3-4b-it__base,ru,philosophy,25,12,0.48
gemma-3-4b-it__base,ru,engineering,48,16,0.333333
gemma-3-4b-it__base,vi,all,620,241,0.38871
gemma-3-4b-it__base,vi,business,72,31,0.430556
gemma-3-4b-it__base,vi,law,48,9,0.1875
gemma-3-4b-it__base,vi,psychology,40,20,0.5
gemma-3-4b-it__base,vi,biology,36,22,0.611111
gemma-3-4b-it__base,vi,chemistry,56,13,0.232143
gemma-3-4b-it__base,vi,history,19,5,0.263158
gemma-3-4b-it__base,vi,other,46,14,0.304348
gemma-3-4b-it__base,vi,health,35,15,0.428571
gemma-3-4b-it__base,vi,economics,42,20,0.47619
gemma-3-4b-it__base,vi,math,68,38,0.558824
gemma-3-4b-it__base,vi,physics,65,30,0.461538
gemma-3-4b-it__base,vi,computer science,20,6,0.3
gemma-3-4b-it__base,vi,philosophy,25,6,0.24
gemma-3-4b-it__base,vi,engineering,48,12,0.25
gemma-3-4b-it__base,es,all,588,239,0.406463
gemma-3-4b-it__base,es,business,40,18,0.45
gemma-3-4b-it__base,es,law,48,7,0.145833
gemma-3-4b-it__base,es,psychology,40,20,0.5
gemma-3-4b-it__base,es,biology,36,25,0.694444
gemma-3-4b-it__base,es,chemistry,56,15,0.267857
gemma-3-4b-it__base,es,history,19,6,0.315789
gemma-3-4b-it__base,es,other,46,16,0.347826
gemma-3-4b-it__base,es,health,35,18,0.514286
gemma-3-4b-it__base,es,economics,42,21,0.5
gemma-3-4b-it__base,es,math,68,36,0.529412
gemma-3-4b-it__base,es,physics,65,26,0.4
gemma-3-4b-it__base,es,computer science,20,9,0.45
gemma-3-4b-it__base,es,philosophy,25,9,0.36
gemma-3-4b-it__base,es,engineering,48,13,0.270833
gemma-3-4b-it__base,ar,all,620,230,0.370968
gemma-3-4b-it__base,ar,business,72,29,0.402778
gemma-3-4b-it__base,ar,law,48,3,0.0625
gemma-3-4b-it__base,ar,psychology,40,17,0.425
gemma-3-4b-it__base,ar,biology,36,18,0.5
gemma-3-4b-it__base,ar,chemistry,56,23,0.410714
gemma-3-4b-it__base,ar,history,19,5,0.263158
gemma-3-4b-it__base,ar,other,46,17,0.369565
gemma-3-4b-it__base,ar,health,35,11,0.314286
gemma-3-4b-it__base,ar,economics,42,17,0.404762
gemma-3-4b-it__base,ar,math,68,36,0.529412
gemma-3-4b-it__base,ar,physics,65,26,0.4
gemma-3-4b-it__base,ar,computer science,20,7,0.35
gemma-3-4b-it__base,ar,philosophy,25,7,0.28
gemma-3-4b-it__base,ar,engineering,48,14,0.291667
gemma-3-4b-it__base,sw,all,620,181,0.291935
gemma-3-4b-it__base,sw,business,72,25,0.347222
gemma-3-4b-it__base,sw,law,48,6,0.125
gemma-3-4b-it__base,sw,psychology,40,11,0.275
gemma-3-4b-it__base,sw,biology,36,16,0.444444
gemma-3-4b-it__base,sw,chemistry,56,17,0.303571
gemma-3-4b-it__base,sw,history,19,1,0.052632
gemma-3-4b-it__base,sw,other,46,14,0.304348
gemma-3-4b-it__base,sw,health,35,6,0.171429
gemma-3-4b-it__base,sw,economics,42,12,0.285714
gemma-3-4b-it__base,sw,math,68,32,0.470588
gemma-3-4b-it__base,sw,physics,65,22,0.338462
